VCP Code,VCP Code Name,Read-Write,Current Value,Maximum Value,Possible Values
FF,Manufacturer Specific,,0,0,
FD,Manufacturer Specific,,0,0,
F7,Manufacturer Specific,,257,257,66
F6,Manufacturer Specific,,0,0,1
F2,Manufacturer Specific,,0,4,"0, 1, 2, 3, 4"
F0,Manufacturer Specific,,0,1,"0, 1"
ED,Manufacturer Specific,,1,1,"0, 1"
EC,Manufacturer Specific,,0,0,"1, 2, 3"
EB,Manufacturer Specific,,0,1,"0, 1, 2, 3"
E9,Manufacturer Specific,,0,2,"0, 2"
E2,Manufacturer Specific,,100,100,
E2,Manufacturer Specific,,100,100,
E2,Manufacturer Specific,,100,100,
E2,Manufacturer Specific,,100,100,
E2,Manufacturer Specific,,50,100,
E2,Manufacturer Specific,,50,100,
E2,Manufacturer Specific,,50,100,
E2,Manufacturer Specific,,50,100,
E2,Manufacturer Specific,,100,100,
E2,Manufacturer Specific,,70,255,
E2,Manufacturer Specific,,70,255,
E2,Manufacturer Specific,,70,255,
E2,Manufacturer Specific,,100,0,
E2,Manufacturer Specific,,0,1,
E2,Manufacturer Specific,,100,100,
E2,Manufacturer Specific,,0,1,
E2,Manufacturer Specific,,0,1,
E2,Manufacturer Specific,,0,1,
E2,Manufacturer Specific,,100,100,
E2,Manufacturer Specific,,0,1,
E2,Manufacturer Specific,,100,100,
E2,Manufacturer Specific,,0,1,
E2,Manufacturer Specific,,100,100,
E2,Manufacturer Specific,,2,8,
E2,Manufacturer Specific,,100,100,
E2,Manufacturer Specific,,70,255,
E0,Manufacturer Specific,,2,8,"1, 2, 3, 5"
DF,VCP Version,Read Only,514,,
DC,Display Application,Read+Write,81,96,"0, 1, 3, 4, 5, 6, 7, 8, 11, 14, 31, 32, 33, 34, 35, 36, 48, 226"
DA,Scan Mode,Read+Write,0,8,"0, 2"
D6,Power Mode,Read+Write,1,5,"1, 4, 5"
CC,OSD Language,Read+Write,2,36,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 18, 20, 22, 23, 26, 30, 36"
CA,OSD,Read+Write,2,2,"1, 2"
C8,Display Controller ID,Read+Write,9,0,
C6,Application Enable Key,Read Only,90,,
C0,Display Usage Time,Read Only,0,,
B6,Display Technology Type,Read Only,3,,
